lng,lat
18.0595269,59.3406995
18.0581462,59.3411922
18.0577102,59.3410701
18.0577102,59.3410701
18.0576426,59.3411576
18.0576426,59.3411576
18.0576423,59.3411578
17.8594929,59.4148327
17.8559565,59.4173378
17.964878,59.3761391
17.9609999,59.3771448
18.0341275,59.3358353
17.948182,59.3980157
17.948182,59.3980157
17.948182,59.3980157
17.9483601,59.3980315
17.9483112,59.3980992
17.9483112,59.3980992
17.943258,59.4023802
17.9478804,59.3983483
17.9483523,59.3980042
17.9483523,59.3980042
17.9483523,59.3980042
17.9483523,59.3980042
17.9482157,59.398049
17.9438453,59.4007637
17.968785,59.3761844
17.9604925,59.3769052
17.9487896,59.3982664
17.9482157,59.3979938
17.9482073,59.3980182
17.9661439,59.37667
17.9698747,59.3758258
17.948278,59.398116
17.9480706,59.3981339
17.9482229,59.3981149
17.9482229,59.3981149
17.9482229,59.3981149
17.9441586,59.400915
17.9470758,59.3988725
17.9523579,59.4006562
17.9523579,59.4006562
17.9523579,59.4006562
17.9522593,59.4007084
17.9522593,59.4007084
17.9522593,59.4007084
17.9416947,59.4024573
17.9482515,59.3980287
17.9482515,59.3980287
17.9482515,59.3980287
17.9482515,59.3980287
17.9440712,59.4007036
17.9474902,59.3984582
17.9491257,59.3973764
17.9522479,59.4006735
17.9522047,59.4005634
17.9522047,59.4005634
17.9522146,59.4006303
17.9525362,59.4006883
17.9522756,59.4006685
17.9696554,59.3757479
17.9582108,59.3774281
17.9675501,59.3763367
18.0352424,59.3159588
17.9694003,59.3757131
17.9659316,59.3764197
17.9468315,59.3990016
17.9482385,59.3982531
17.9692905,59.3757916
17.9454039,59.3998451
17.9482403,59.3980282
17.9482403,59.3980282
17.9482409,59.3980447
17.9470603,59.3989471
17.9488801,59.401696
17.9488801,59.401696
18.0320758,59.3351404
18.0010061,59.3591281
17.9434483,59.4020284
17.9434483,59.4020284
17.9461272,59.3993712
17.9480638,59.3980572
17.948019,59.3980706
17.9581193,59.3773441
17.948147,59.3980069
17.9469446,59.3986237
17.9477781,59.3981468
