name,value,year,lastValue,rank
Ospecificerad produktion,1,200911,1,6
Vattenkraft,6917,200912,5782,1
Kärnkraft,3762,200912,3342,2
Övrig värmekraft,1592,200912,953,3
Vindkraft,220,200912,341,4
Gasturbin & dieselkraft,19,200912,4,5
Ospecificerad produktion,1,200912,1,6
Vattenkraft,7380,201001,6917,1
Kärnkraft,4681,201001,3762,2
Övrig värmekraft,1763,201001,1592,3
Vindkraft,253,201001,220,4
Gasturbin & dieselkraft,39,201001,19,5
Ospecificerad produktion,1,201001,1,6
Vattenkraft,6360,201002,7380,1
Kärnkraft,3907,201002,4681,2
Övrig värmekraft,1637,201002,1763,3
Vindkraft,200,201002,253,4
Gasturbin & dieselkraft,39,201002,39,5
Ospecificerad produktion,1,201002,1,6
Kärnkraft,5107,201003,3907,1
Vattenkraft,5019,201003,6360,2
Övrig värmekraft,1528,201003,1637,3
Vindkraft,280,201003,200,4
Gasturbin & dieselkraft,11,201003,39,5
Ospecificerad produktion,1,201003,1,6
Kärnkraft,5530,201004,5107,1
Vattenkraft,3907,201004,5019,2
Övrig värmekraft,1178,201004,1528,3
Vindkraft,238,201004,280,4
Gasturbin & dieselkraft,2,201004,11,5
Ospecificerad produktion,1,201004,1,6
Kärnkraft,5708,201005,5530,1
Vattenkraft,5707,201005,3907,2
Övrig värmekraft,721,201005,1178,3
Vindkraft,208,201005,238,4
Gasturbin & dieselkraft,3,201005,2,5
Ospecificerad produktion,1,201005,1,6
Vattenkraft,5465,201006,5707,1
Kärnkraft,5092,201006,5708,2
Övrig värmekraft,508,201006,721,3
Vindkraft,194,201006,208,4
Gasturbin & dieselkraft,3,201006,3,5
Ospecificerad produktion,1,201006,1,6
Vattenkraft,5023,201007,5465,1
Kärnkraft,4435,201007,5092,2
Övrig värmekraft,393,201007,508,3
Vindkraft,235,201007,194,4
Gasturbin & dieselkraft,2,201007,3,5
Ospecificerad produktion,1,201007,1,6
Vattenkraft,5362,201008,5023,1
Kärnkraft,4630,201008,4435,2
Vindkraft,221,201008,235,3
Övrig värmekraft,160,201008,393,4
Gasturbin & dieselkraft,2,201008,2,5
Ospecificerad produktion,1,201008,1,6
Vattenkraft,4849,201009,5362,1
Kärnkraft,3377,201009,4630,2
Övrig värmekraft,560,201009,160,3
Vindkraft,323,201009,221,4
Gasturbin & dieselkraft,2,201009,2,5
Ospecificerad produktion,1,201009,1,6
Vattenkraft,5877,201010,4849,1
Kärnkraft,2878,201010,3377,2
Övrig värmekraft,1011,201010,560,3
Vindkraft,460,201010,323,4
Gasturbin & dieselkraft,4,201010,2,5
Ospecificerad produktion,1,201010,1,6
Vattenkraft,6243,201011,5877,1
Kärnkraft,4664,201011,2878,2
Övrig värmekraft,1417,201011,1011,3
Vindkraft,470,201011,460,4
Gasturbin & dieselkraft,14,201011,4,5
Ospecificerad produktion,1,201011,1,6
Vattenkraft,6220,201012,6243,1
Kärnkraft,5770,201012,4664,2
Övrig värmekraft,1648,201012,1417,3
Vindkraft,386,201012,470,4
Gasturbin & dieselkraft,46,201012,14,5
Ospecificerad produktion,1,201012,1,6
Kärnkraft,6582,201101,5770,1
Vattenkraft,5573,201101,6220,2
Övrig värmekraft,1518,201101,1648,3
Vindkraft,469,201101,386,4
Gasturbin & dieselkraft,32,201101,46,5
Ospecificerad produktion,1,201101,1,6
Kärnkraft,5837,201102,6582,1
Vattenkraft,5561,201102,5573,2
Övrig värmekraft,1482,201102,1518,3
Vindkraft,502,201102,469,4
Gasturbin & dieselkraft,30,201102,32,5
Ospecificerad produktion,1,201102,1,6
Kärnkraft,6492,201103,5837,1
Vattenkraft,4214,201103,5561,2
Övrig värmekraft,1488,201103,1482,3
Vindkraft,649,201103,502,4
Gasturbin & dieselkraft,28,201103,30,5
Ospecificerad produktion,3,201103,1,6
Kärnkraft,4984,201104,6492,1
Vattenkraft,4639,201104,4214,2
Övrig värmekraft,939,201104,1488,3
Vindkraft,429,201104,649,4
Gasturbin & dieselkraft,5,201104,28,5
Ospecificerad produktion,1,201104,3,6
Kärnkraft,4872,201105,4984,1
Vattenkraft,4306,201105,4639,2
Övrig värmekraft,757,201105,939,3
Vindkraft,451,201105,429,4
Gasturbin & dieselkraft,5,201105,5,5
Ospecificerad produktion,1,201105,1,6
Vattenkraft,5321,201106,4306,1
Kärnkraft,3758,201106,4872,2
Vindkraft,341,201106,451,3
Övrig värmekraft,311,201106,757,4
Gasturbin & dieselkraft,7,201106,5,5
Ospecificerad produktion,1,201106,1,6
Kärnkraft,5065,201107,3758,1
Vattenkraft,4143,201107,5321,2
Vindkraft,287,201107,341,3
Övrig värmekraft,168,201107,311,4
Gasturbin & dieselkraft,4,201107,7,5
Ospecificerad produktion,1,201107,1,6
Vattenkraft,5701,201108,4143,1
Kärnkraft,4312,201108,5065,2
Vindkraft,343,201108,287,3
Övrig värmekraft,161,201108,168,4
Gasturbin & dieselkraft,6,201108,4,5
Ospecificerad produktion,1,201108,1,6
Vattenkraft,7322,201109,5701,1
Kärnkraft,3317,201109,4312,2
Vindkraft,559,201109,343,3
Övrig värmekraft,307,201109,161,4
Gasturbin & dieselkraft,8,201109,6,5
Ospecificerad produktion,1,201109,1,6
Vattenkraft,7164,201110,7322,1
Kärnkraft,3470,201110,3317,2
Vindkraft,681,201110,559,3
Övrig värmekraft,545,201110,307,4
Gasturbin & dieselkraft,9,201110,8,5
Ospecificerad produktion,1,201110,1,6
Vattenkraft,6453,201111,7164,1
Kärnkraft,3918,201111,3470,2
Övrig värmekraft,987,201111,545,3
Vindkraft,566,201111,681,4
Gasturbin & dieselkraft,7,201111,9,5
Ospecificerad produktion,1,201111,1,6
Vattenkraft,7009,201112,6453,1
Kärnkraft,5539,201112,3918,2
Övrig värmekraft,1125,201112,987,3
Vindkraft,915,201112,566,4
Gasturbin & dieselkraft,6,201112,7,5
Ospecificerad produktion,1,201112,1,6
Vattenkraft,7362,201201,7009,1
Kärnkraft,5383,201201,5539,2
Övrig värmekraft,1300,201201,1125,3
Vindkraft,640,201201,915,4
Gasturbin & dieselkraft,9,201201,6,5
Ospecificerad produktion,1,201201,1,6
Solel,0,201201,0,7
Vattenkraft,7239,201202,7362,1
Kärnkraft,4839,201202,5383,2
Övrig värmekraft,1389,201202,1300,3
Vindkraft,684,201202,640,4
Gasturbin & dieselkraft,23,201202,9,5
Ospecificerad produktion,1,201202,1,6
Solel,0,201202,0,7
Vattenkraft,7061,201203,7239,1
Kärnkraft,5665,201203,4839,2
Övrig värmekraft,943,201203,1389,3
Vindkraft,784,201203,684,4
Gasturbin & dieselkraft,6,201203,23,5
Ospecificerad produktion,1,201203,1,6
Solel,0,201203,0,7
Vattenkraft,6629,201204,7061,1
Kärnkraft,5495,201204,5665,2
Övrig värmekraft,705,201204,943,3
Vindkraft,524,201204,784,4
Gasturbin & dieselkraft,5,201204,6,5
Ospecificerad produktion,1,201204,1,6
Solel,0,201204,0,7
Vattenkraft,6812,201205,6629,1
Kärnkraft,4409,201205,5495,2
Vindkraft,540,201205,524,3
Övrig värmekraft,401,201205,705,4
Gasturbin & dieselkraft,8,201205,5,5
Ospecificerad produktion,1,201205,1,6
Solel,0,201205,0,7
Vattenkraft,6232,201206,6812,1
Kärnkraft,4025,201206,4409,2
Vindkraft,430,201206,540,3
Övrig värmekraft,220,201206,401,4
Gasturbin & dieselkraft,7,201206,8,5
Ospecificerad produktion,1,201206,1,6
Solel,0,201206,0,7
Vattenkraft,5983,201207,6232,1
Kärnkraft,4537,201207,4025,2
Vindkraft,424,201207,430,3
Övrig värmekraft,135,201207,220,4
Gasturbin & dieselkraft,6,201207,7,5
Ospecificerad produktion,1,201207,1,6
Solel,0,201207,0,7
Vattenkraft,6175,201208,5983,1
Kärnkraft,4507,201208,4537,2
Vindkraft,357,201208,424,3
Övrig värmekraft,163,201208,135,4
Gasturbin & dieselkraft,3,201208,6,5
Ospecificerad produktion,1,201208,1,6
Solel,0,201208,0,7
Vattenkraft,5467,201209,6175,1
Kärnkraft,4766,201209,4507,2
Vindkraft,758,201209,357,3
Övrig värmekraft,332,201209,163,4
Gasturbin & dieselkraft,5,201209,3,5
Ospecificerad produktion,1,201209,1,6
Solel,0,201209,0,7
Vattenkraft,6813,201210,5467,1
Kärnkraft,5725,201210,4766,2
Vindkraft,666,201210,758,3
Övrig värmekraft,576,201210,332,4
Gasturbin & dieselkraft,8,201210,5,5
Ospecificerad produktion,1,201210,1,6
Solel,0,201210,0,7
