lng,lat
2.3197749,48.8909236
2.3197588,48.8909269
2.3197451,48.8909353
2.3197327,48.8909352
2.3197201,48.8909387
2.3197001,48.8909451
2.31969,48.8909535
2.3196801,48.8909606
2.3196701,48.8909655
2.3196674,48.8909751
2.319652,48.8909788
2.3196362,48.8909823
2.3196279,48.8909962
2.3077573,48.8699377
2.3464986,48.8627863
2.3192244,48.8914859
2.3192057,48.8914445
2.3002706,48.8724473
2.3002706,48.8724473
2.3002706,48.8724473
2.3002706,48.8724473
2.3090843,48.8692608
2.3091501,48.8689944
2.3323956,48.8708535
2.3309634,48.8734601
2.3309537,48.8733952
2.3309329,48.8733797
2.3307829,48.873365
2.3305483,48.8732985
2.3280049,48.8696844
2.328543,48.8695097
2.3197824,48.8909404
2.3135501,48.8674975
2.3074799,48.8699099
2.3466494,48.862783
2.3162996,48.8919521
2.3149669,48.8919011
2.334539,48.8456696
2.3013654,48.8720501
2.3023436,48.8714358
2.314962,48.8919007
2.3151057,48.8919724
2.3192048,48.8914462
2.3192009,48.8914416
2.2931187,48.858857
2.3145314,48.8920961
2.3145813,48.8920675
2.3145862,48.8920644
2.3197374,48.8909548
2.3027479,48.8715355
2.3150027,48.8919011
2.3149854,48.8918993
2.2931543,48.8589298
2.3150949,48.8919676
2.3150949,48.8919676
2.3150949,48.8919676
2.3150949,48.8919676
2.3150949,48.8919676
2.3150949,48.8919676
2.319217,48.8914534
2.3013537,48.872083
2.3150973,48.8919687
2.3150912,48.8919697
2.3151353,48.8920892
2.3461642,48.858937
2.315034,48.8919207
2.332411,48.8711697
2.3159696,48.892064
2.3013381,48.8721385
2.3467283,48.8618754
2.3150964,48.8919685
2.3002573,48.8722945
2.3029561,48.871308
2.3147269,48.8920274
2.3150249,48.8919115
2.3150959,48.8919675
2.3151005,48.8919714
2.315098,48.8919691
2.315098,48.8919691
2.315098,48.8919691
2.315098,48.8919691
2.315098,48.8919691
2.315098,48.8919691
2.315098,48.8919691
2.315098,48.8919691
2.315098,48.8919691
2.3150942,48.8919672
2.3152159,48.892238
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3150841,48.8919707
2.3072353,48.8702827
2.3150984,48.8919651
2.3151308,48.8919864
2.3150951,48.8919681
2.3150951,48.8919681
2.3150951,48.8919681
2.3150951,48.8919681
2.3150951,48.8919681
2.3150949,48.8919677
2.3150949,48.8919677
2.3150949,48.8919677
2.3150995,48.8919714
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3151004,48.8919718
2.3150912,48.8919728
2.3210751,48.8902838
2.2982199,48.8605146
2.3338713,48.8601226
2.3197504,48.8909598
2.3494353,48.8624598
2.3150897,48.891978
2.2967676,48.8731644
2.3299832,48.8440894
2.3164828,48.8920466
2.3135332,48.8674893
2.3150655,48.8919525
2.3150216,48.8919094
2.3151973,48.8922043
2.3069554,48.8614255
2.3460271,48.8593499
2.3460271,48.8593499
2.3460271,48.8593499
2.3321904,48.8455169
2.3150947,48.8919681
2.3346937,48.8623806
2.3074335,48.8703534
2.3510308,48.8605547
2.3097913,48.8612964
2.3302424,48.8734784
2.2956935,48.85962
2.3012765,48.8722351
2.307413,48.8703348
2.3066,48.8546809
2.3322729,48.8713459
2.3310583,48.8734549
2.3282034,48.8714225
