lng,lat
18.6966527,67.8522523
18.6966656,67.8522746
18.6966695,67.8522781
18.6966914,67.8522981
18.6966878,67.8522947
18.6966848,67.8522943
18.7280852,67.8525799
18.7391491,68.3182661
18.7385059,68.3177876
18.7061865,68.3128095
18.6544594,68.3039131
18.6544218,68.303925
18.654553,68.3039071
18.6546347,68.3038785
18.6546045,68.3038927
18.6546251,68.3038941
18.6548345,68.3039287
18.6546518,68.3039033
18.6490247,68.2987669
18.6477131,68.298087
18.64537,68.2973004
18.6441673,68.2969272
18.6044289,68.2871164
18.5934905,68.2840557
18.5904875,68.2840526
18.5907303,68.284247
18.5913972,68.2828147
18.5909363,68.2810321
18.5908243,68.2805734
18.5886766,68.2788457
18.5819195,68.2745591
18.5819238,68.2745604
18.5819383,68.2745535
18.583002,68.2619622
18.6013216,68.2420547
18.5867976,68.2292354
18.4229965,68.157237
18.4125931,68.1361806
18.4126149,68.136039
18.4145291,68.1362497
18.4145884,68.1363037
18.4111882,68.1355262
18.4110497,68.1354456
18.4112207,68.1355568
18.4110915,68.1354398
18.4110747,68.1354229
18.4110736,68.1354604
18.4110934,68.1354674
18.4126438,68.1360954
18.4125164,68.1359983
18.3707906,68.1164801
18.3394249,68.1058606
18.3389744,68.1059867
18.339367,68.1049355
18.3384745,68.104838
18.337217,68.1048338
18.3366126,68.1048901
18.3362004,68.1048748
18.3352241,68.1048188
18.3344653,68.1047785
18.2723957,68.0774043
18.2541236,68.059798
18.2511401,68.0581214
18.2415915,68.0516563
18.2530016,67.9979022
18.2530073,67.9979009
18.2530421,67.9978909
18.2663329,67.9706197
18.2749687,67.9584175
18.2745259,67.9553417
18.2774811,67.9494465
18.2824499,67.9464579
18.2816809,67.9458178
18.2816888,67.9458158
18.2817017,67.9458171
18.2816809,67.9458178
18.2816888,67.9458158
18.2817017,67.9458171
18.2815417,67.945825
18.2815417,67.945825
18.2817745,67.9458401
18.2817745,67.9458401
18.28167,67.945801
18.281617,67.9458118
18.2816137,67.9458152
18.2999895,67.9167032
18.3449871,67.863047
18.3803714,67.8498575
18.3802516,67.8498203
18.4001213,67.8477543
18.4001332,67.8477473
18.400146,67.8477404
18.4001638,67.8477338
18.4001837,67.8477264
18.4001999,67.8477193
18.4002139,67.8477144
18.4314358,67.8445005
18.4782806,67.8430879
18.478281,67.843088
18.4782816,67.8430881
18.4782823,67.8430882
18.478283,67.8430882
18.4782837,67.8430882
18.478284,67.8430883
18.4782836,67.8430885
18.4782831,67.8430888
18.4782829,67.8430889
18.4782829,67.8430891
18.4782824,67.8430894
18.4782819,67.8430895
18.4782814,67.8430896
18.5271391,67.8567859
18.5658202,67.8653074
18.5658185,67.8653134
18.6512127,67.8689928
18.7647481,68.3409651
18.7618047,68.3325263
18.6905866,68.3116759
18.6547585,68.3039011
18.6546389,68.303867
18.604617,68.2871223
18.5910828,68.2837605
18.5903513,68.2840598
18.5880578,68.2784345
18.5928411,68.2556684
18.5993928,68.2487784
18.5949408,68.23331
18.5830209,68.2271769
18.4125441,68.1360129
18.4127297,68.1360395
18.4124941,68.1359795
18.4036984,68.1254263
18.3392322,68.1048227
18.2995346,68.088029
18.2995701,68.0880437
18.254072,68.0610849
18.2457575,68.032951
18.2465244,68.0268399
18.2472638,68.0196462
18.2438972,68.0167819
18.2521059,68.0013932
18.2529988,67.9979168
18.2530401,67.9979037
18.2524518,67.9802195
18.2605588,67.9736356
18.2816633,67.9458169
18.2816692,67.9458282
18.2816633,67.9458169
18.2816692,67.9458282
18.2816039,67.9457796
18.3957446,67.8482204
18.4154956,67.8467991
18.4783593,67.843085
18.4783843,67.843075
18.4783985,67.8430686
18.478403,67.843065
18.4783907,67.8430637
18.4782765,67.8430844
18.7629039,68.33966
18.762264,68.3324186
18.7392633,68.3183354
18.7391339,68.3182757
18.7384629,68.3178362
18.7121896,68.3130669
18.6618046,68.3059028
18.6544136,68.3038866
18.6545617,68.3038801
18.6546967,68.3039733
18.6511306,68.3007644
18.5907069,68.2844465
18.5893809,68.2876409
18.5895912,68.2876514
18.5880531,68.2784373
18.5881018,68.2784242
18.581836,68.2745364
18.600186,68.2399178
18.5868793,68.2293924
18.5868586,68.2292858
18.5809822,68.226613
18.5227309,68.2027546
18.4124045,68.1360892
18.4125607,68.1360302
18.4123531,68.1362382
18.4128213,68.1360214
18.4112148,68.1355513
18.4110937,68.1354217
18.3994776,68.124154
18.3393928,68.1049402
18.3380072,68.1047498
18.2995561,68.0880136
18.2724798,68.0776115
18.2511335,68.058193
18.2441095,68.0454609
18.2441717,68.0118426
18.2744709,67.9583916
18.2817119,67.9458323
18.2817818,67.9457945
18.281626,67.9458088
18.3435864,67.8638499
18.3937167,67.8482977
18.4000495,67.8477869
18.4000915,67.8477705
18.4585931,67.8436802
18.4783633,67.843066
18.4783377,67.8430701
18.4783206,67.8430731
18.4783093,67.8430751
18.4783021,67.8430763
18.4782975,67.8430771
18.4782945,67.8430777
18.4782921,67.8430781
18.4782901,67.8430785
18.4782883,67.843079
18.478287,67.8430792
18.4782861,67.8430794
18.4782854,67.8430796
18.4782847,67.8430798
18.4782844,67.84308
18.4782841,67.8430802
18.4782838,67.8430802
18.4782832,67.8430804
18.4782823,67.8430807
18.4782816,67.8430811
18.4782804,67.8430816
18.4782792,67.8430822
18.4782781,67.8430826
18.4782775,67.8430829
18.478277,67.8430832
18.4782762,67.8430836
18.4782758,67.8430838
18.4782753,67.8430841
18.4782756,67.8430841
18.4782762,67.843084
18.4782764,67.843084
18.4782768,67.843084
18.478277,67.8430839
18.4782771,67.8430839
18.4782769,67.8430841
18.4782766,67.8430845
18.4782765,67.8430846
18.4782761,67.8430848
18.4782755,67.843085
18.4782755,67.843085
18.4782755,67.843085
18.4782757,67.8430849
18.4782757,67.8430849
18.4782764,67.8430845
18.4782777,67.8430849
18.4782787,67.8430855
18.4782793,67.8430863
18.4782797,67.8430871
18.4782801,67.8430876
18.516051,67.8516725
18.6013152,68.2420664
18.5256465,68.2035586
18.5256251,68.2035499
18.5256247,68.2035502
18.3389831,68.1059856
18.338973,68.1059716
18.2471588,68.0195885
18.2817512,67.9458579
18.2817511,67.9458576
18.281751,67.9458574
18.2817509,67.9458572
18.2817509,67.945857
18.2817509,67.9458569
18.2817509,67.9458567
18.2817508,67.9458566
18.2817508,67.9458565
18.2817508,67.9458564
18.2817508,67.9458563
18.2817509,67.9458562
18.2817508,67.945856
18.2817487,67.9458628
18.2817483,67.9458646
18.281748,67.9458663
18.2817477,67.9458683
18.2817474,67.94587
18.2817512,67.9458579
18.2817511,67.9458576
18.281751,67.9458574
18.2817509,67.9458572
18.2817509,67.945857
18.2817509,67.9458569
18.2817509,67.9458567
18.2817508,67.9458566
18.2817508,67.9458565
18.2817508,67.9458564
18.2817508,67.9458563
18.2817509,67.9458562
18.2817508,67.945856
18.2817487,67.9458628
18.2817483,67.9458646
18.281748,67.9458663
18.2817477,67.9458683
18.2817474,67.94587
18.2816333,67.9458176
18.2816335,67.9458176
18.281635,67.9458164
18.281635,67.9458164
18.281635,67.9458164
18.2816473,67.9458186
18.2816459,67.9458185
18.6966169,67.8522626
18.696617,67.8522626
