name,value,year,lastValue,rank,year2
Kärnkraft,4850,56075951,185,5567,60706473,2,201805
Vindkraft,1034,374480155,185,1288,826459933,3,201805
Övrig värmekraft,338,269290095,185,603,490975377,4,201805
Solel,26,500962263,185,14,231017506,5,201805
Ospecificerad produktion,13,399880423,185,20,587797672,6,201805
Gasturbin & dieselkraft,0,185,0,7,201805
Kärnkraft,5350,451117,186,4850,56075951,1,201806
Vattenkraft,3891,529813366,186,6138,565987853,2,201806
Vindkraft,1352,084831439,186,1034,374480155,3,201806
Övrig värmekraft,273,443020656,186,338,269290095,4,201806
Solel,25,991569256,186,26,500962263,5,201806
Ospecificerad produktion,9,1627411,186,13,399880423,6,201806
Gasturbin & dieselkraft,0,186,0,7,201806
Kärnkraft,5411,11252809,187,5350,451117,1,201807
Vattenkraft,3201,137595329,187,3891,529813366,2,201807
Vindkraft,652,86396755,187,1352,084831439,3,201807
Övrig värmekraft,217,517472963,187,273,443020656,4,201807
Solel,28,905561159,187,25,991569256,5,201807
Ospecificerad produktion,4,165752864,187,9,1627411,6,201807
Gasturbin & dieselkraft,0,187,0,7,201807
Kärnkraft,4625,17413421,188,5411,11252809,1,201808
Vattenkraft,3645,598025908,188,3201,137595329,2,201808
Vindkraft,1294,012927944,188,652,86396755,3,201808
Övrig värmekraft,227,001880825,188,217,517472963,4,201808
Solel,19,327857206,188,28,905561159,5,201808
Ospecificerad produktion,3,156281903,188,4,165752864,6,201808
Gasturbin & dieselkraft,0,188,0,7,201808
Kärnkraft,4096,39277104,189,4625,17413421,1,201809
Vattenkraft,3884,546050207,189,3645,598025908,2,201809
Vindkraft,1950,158634044,189,1294,012927944,3,201809
Övrig värmekraft,362,115686128,189,227,001880825,4,201809
Ospecificerad produktion,14,876167279,189,3,156281903,5,201809
Solel,14,428457718,189,19,327857206,6,201809
Gasturbin & dieselkraft,0,189,0,7,201809
Kärnkraft,5875,4489137,190,4096,39277104,1,201810
Vattenkraft,3984,655663738,190,3884,546050207,2,201810
Vindkraft,1987,5996641,190,1950,158634044,3,201810
Övrig värmekraft,602,636924966,190,362,115686128,4,201810
Ospecificerad produktion,27,93747224,190,14,876167279,5,201810
Solel,8,40736305,190,14,428457718,6,201810
Gasturbin & dieselkraft,0,190,0,7,201810
Kärnkraft,5524,70455,191,5875,4489137,1,201811
Vattenkraft,5515,260582683,191,3984,655663738,2,201811
Vindkraft,1661,127628723,191,1987,5996641,3,201811
Övrig värmekraft,849,451062147,191,602,636924966,4,201811
Ospecificerad produktion,37,842877399,191,27,93747224,5,201811
Solel,1,752131781,191,8,40736305,6,201811
Gasturbin & dieselkraft,0,191,0,7,201811
Kärnkraft,6238,09472186,192,5524,70455,1,201812
Vattenkraft,6201,194923234,192,5515,260582683,2,201812
Vindkraft,1641,666344176,192,1661,127628723,3,201812
Övrig värmekraft,1197,093286803,192,849,451062147,4,201812
Ospecificerad produktion,42,443829551,192,37,842877399,5,201812
Solel,0,462806295,192,1,752131781,6,201812
Gasturbin & dieselkraft,0,192,0,7,201812
Vattenkraft,6417,600787443,193,6201,194923234,1,201901
Kärnkraft,6068,193,6238,09472186,2,201901
Vindkraft,1840,219778375,193,1641,666344176,3,201901
Övrig värmekraft,1318,576336757,193,1197,093286803,4,201901
Ospecificerad produktion,48,304431066,193,42,443829551,5,201901
Solel,0,952144831,193,0,462806295,6,201901
Gasturbin & dieselkraft,0,193,0,7,201901
Kärnkraft,5512,11504,194,6068,1,201902
Vattenkraft,5492,008361452,194,6417,600787443,2,201902
Vindkraft,2085,558468362,194,1840,219778375,3,201902
Övrig värmekraft,1033,447991546,194,1318,576336757,4,201902
Ospecificerad produktion,38,094348009,194,48,304431066,5,201902
Solel,5,095340489,194,0,952144831,6,201902
Gasturbin & dieselkraft,0,194,0,7,201902
Vattenkraft,5839,38209361,195,5492,008361452,1,201903
Kärnkraft,5774,63044939,195,5512,11504,2,201903
Vindkraft,2375,332023857,195,2085,558468362,3,201903
Övrig värmekraft,1064,725765055,195,1033,447991546,4,201903
Ospecificerad produktion,36,636878695,195,38,094348009,5,201903
Solel,25,851562692,195,5,095340489,6,201903
Gasturbin & dieselkraft,0,195,0,7,201903
