name,value,year,lastValue,rank,year2
Ospecificerad produktion,5103,27,5470,2,200503
Vattenkraft,2046,27,2010,3,200503
Övrig värmekraft,167,27,181,4,200503
Vindkraft,8,27,10,5,200503
Gasturbin & dieselkraft,0,27,0,6,200503
Kärnkraft,5990,28,6257,1,200504
Ospecificerad produktion,4308,28,5103,2,200504
Vattenkraft,1612,28,2046,3,200504
Övrig värmekraft,71,28,167,4,200504
Vindkraft,8,28,8,5,200504
Gasturbin & dieselkraft,0,28,0,6,200504
Kärnkraft,5162,29,5990,1,200505
Ospecificerad produktion,4431,29,4308,2,200505
Vattenkraft,1729,29,1612,3,200505
Övrig värmekraft,46,29,71,4,200505
Vindkraft,6,29,8,5,200505
Gasturbin & dieselkraft,0,29,0,6,200505
Kärnkraft,4767,30,5162,1,200506
Ospecificerad produktion,4061,30,4431,2,200506
Vattenkraft,1546,30,1729,3,200506
Övrig värmekraft,22,30,46,4,200506
Vindkraft,7,30,6,5,200506
Gasturbin & dieselkraft,0,30,0,6,200506
Kärnkraft,5516,31,4767,1,200507
Ospecificerad produktion,3464,31,4061,2,200507
Vattenkraft,1379,31,1546,3,200507
Övrig värmekraft,6,31,22,4,200507
Vindkraft,5,31,7,5,200507
Gasturbin & dieselkraft,0,31,0,6,200507
Kärnkraft,4685,32,5516,1,200508
Ospecificerad produktion,4536,32,3464,2,200508
Vattenkraft,1673,32,1379,3,200508
Vindkraft,7,32,5,4,200508
Övrig värmekraft,7,32,6,5,200508
Kärnkraft,5623,33,4685,1,200509
Ospecificerad produktion,4295,33,4536,2,200509
Vattenkraft,1909,33,1673,3,200509
Övrig värmekraft,13,33,7,4,200509
Vindkraft,8,33,7,5,200509
Gasturbin & dieselkraft,0,33,0,6,200509
Gasturbin & dieselkraft,0,33,0,7,200509
Kärnkraft,5969,34,5623,1,200510
Ospecificerad produktion,4470,34,4295,2,200510
Vattenkraft,1972,34,1909,3,200510
Övrig värmekraft,53,34,13,4,200510
Vindkraft,9,34,8,5,200510
Gasturbin & dieselkraft,0,34,0,6,200510
Kärnkraft,6251,35,5969,1,200511
Ospecificerad produktion,5053,35,4470,2,200511
Vattenkraft,1901,35,1972,3,200511
Övrig värmekraft,140,35,53,4,200511
Vindkraft,11,35,9,5,200511
Gasturbin & dieselkraft,0,35,0,6,200511
Kärnkraft,6387,36,6251,1,200512
Ospecificerad produktion,5885,36,5053,2,200512
Vattenkraft,2072,36,1901,3,200512
Övrig värmekraft,219,36,140,4,200512
Vindkraft,19,36,11,5,200512
Gasturbin & dieselkraft,0,36,0,6,200512
Kärnkraft,6600,37,6387,1,200601
Ospecificerad produktion,6059,37,5885,2,200601
Vattenkraft,2123,37,2072,3,200601
Övrig värmekraft,235,37,219,4,200601
Vindkraft,17,37,19,5,200601
Gasturbin & dieselkraft,1,37,0,6,200601
Kärnkraft,6000,38,6600,1,200602
Ospecificerad produktion,4333,38,6059,2,200602
Vattenkraft,2511,38,2123,3,200602
Övrig värmekraft,440,38,235,4,200602
Vindkraft,28,38,17,5,200602
Gasturbin & dieselkraft,0,38,1,6,200602
Kärnkraft,6623,39,6000,1,200603
Ospecificerad produktion,4143,39,4333,2,200603
Vattenkraft,2680,39,2511,3,200603
Övrig värmekraft,540,39,440,4,200603
Vindkraft,31,39,28,5,200603
Gasturbin & dieselkraft,19,39,0,6,200603
Kärnkraft,6388,40,6623,1,200604
Ospecificerad produktion,2784,40,4143,2,200604
Vattenkraft,2349,40,2680,3,200604
Övrig värmekraft,330,40,540,4,200604
Vindkraft,33,40,31,5,200604
Gasturbin & dieselkraft,1,40,19,6,200604
Kärnkraft,6049,41,6388,1,200605
Vattenkraft,2814,41,2349,2,200605
Ospecificerad produktion,2782,41,2784,3,200605
Övrig värmekraft,145,41,330,4,200605
Vindkraft,32,41,33,5,200605
Gasturbin & dieselkraft,0,41,1,6,200605
Kärnkraft,4579,42,6049,1,200606
Vattenkraft,2068,42,2814,2,200606
Ospecificerad produktion,1995,42,2782,3,200606
Övrig värmekraft,42,42,145,4,200606
Vindkraft,24,42,32,5,200606
Gasturbin & dieselkraft,1,42,0,6,200606
Kärnkraft,5179,43,4579,1,200607
Vattenkraft,1593,43,2068,2,200607
Ospecificerad produktion,1560,43,1995,3,200607
Övrig värmekraft,38,43,42,4,200607
Vindkraft,18,43,24,5,200607
Gasturbin & dieselkraft,0,43,1,6,200607
Kärnkraft,3515,44,5179,1,200608
Vattenkraft,2047,44,1593,2,200608
Ospecificerad produktion,1836,44,1560,3,200608
Övrig värmekraft,72,44,38,4,200608
Vindkraft,19,44,18,5,200608
Gasturbin & dieselkraft,1,44,0,6,200608
Kärnkraft,3432,45,3515,1,200609
Ospecificerad produktion,2244,45,1836,2,200609
Vattenkraft,2113,45,2047,3,200609
Övrig värmekraft,79,45,72,4,200609
Vindkraft,35,45,19,5,200609
Gasturbin & dieselkraft,1,45,1,6,200609
Kärnkraft,5433,46,3432,1,200610
Ospecificerad produktion,2625,46,2244,2,200610
Vattenkraft,2543,46,2113,3,200610
Övrig värmekraft,249,46,79,4,200610
Vindkraft,48,46,35,5,200610
Gasturbin & dieselkraft,7,46,1,6,200610
Kärnkraft,5562,47,5433,1,200611
Vattenkraft,3664,47,2543,2,200611
Ospecificerad produktion,2418,47,2625,3,200611
Övrig värmekraft,668,47,249,4,200611
Vindkraft,118,47,48,5,200611
Gasturbin & dieselkraft,29,47,7,6,200611
Kärnkraft,5748,48,5562,1,200612
Vattenkraft,4879,48,3664,2,200612
Ospecificerad produktion,2188,48,2418,3,200612
Övrig värmekraft,639,48,668,4,200612
Vindkraft,161,48,118,5,200612
Gasturbin & dieselkraft,22,48,29,6,200612
Kärnkraft,6324,49,5748,1,200701
Vattenkraft,5115,49,4879,2,200701
Ospecificerad produktion,2526,49,2188,3,200701
Övrig värmekraft,725,49,639,4,200701
Vindkraft,170,49,161,5,200701
Gasturbin & dieselkraft,10,49,22,6,200701
Vattenkraft,4986,50,5115,1,200702
Kärnkraft,4502,50,6324,2,200702
Ospecificerad produktion,2441,50,2526,3,200702
Övrig värmekraft,764,50,725,4,200702
